,a0,a0err,fitOrder,splineX,splineY
4.0887,0.001755649520737913,3.72115567450377e-05,4,4.0887,0.001755649520737913
4.0891,0.0018158598715466525,3.8477670911334095e-05,4,4.0891,0.0018158598715466525
4.0895,0.0018814504144500097,3.985634780476295e-05,4,4.0895,0.0018814504144500097
4.09,0.001953196032370996,4.136380851620349e-05,4,4.09,0.001953196032370996
4.0904,0.0020317842256144672,4.3014579995572e-05,4,4.0904,0.0020317842256144672
4.0908,0.002118173699012341,4.482809660871754e-05,4,4.0908,0.002118173699012341
4.0913,0.0022134211429973294,4.682690730073751e-05,4,4.0913,0.0022134211429973294
4.0917,0.0023187986102113072,4.9037237404965395e-05,4,4.0917,0.0023187986102113072
4.0921,0.002435810716613835,5.149055572146053e-05,4,4.0921,0.002435810716613835
4.0925,0.002566193506843786,5.422226927816671e-05,4,4.0925,0.002566193506843786
4.093,0.002712050338383218,5.727665213569872e-05,4,4.093,0.002712050338383218
4.0934,0.0028759886949915273,6.070735790426346e-05,4,4.0934,0.0028759886949915273
4.0938,0.003061097469083268,6.457869631591968e-05,4,4.0938,0.003061097469083268
4.0943,0.003271132497618769,6.896860066258671e-05,4,4.0943,0.003271132497618769
4.0947,0.0035107786865199017,7.397352563647553e-05,4,4.0947,0.0035107786865199017
4.0951,0.0037858843768986323,7.971539138602516e-05,4,4.0951,0.0037858843768986323
4.0955,0.0041036910434499654,8.634326404465604e-05,4,4.0955,0.0041036910434499654
4.096,0.00447348432715262,9.404980343398688e-05,4,4.096,0.00447348432715262
4.0964,0.00490707263342939,0.00010307880214670563,4,4.0964,0.00490707263342939
4.0968,0.0054198226621210354,0.00011374802817058407,4,4.0968,0.0054198226621210354
4.0973,0.006031835562376231,0.0001264726069528274,4,4.0973,0.006031835562376231
4.0977,0.0067699068659632464,0.0001418061484255974,4,4.0977,0.0067699068659632464
4.0981,0.007670064711395597,0.000160491348921803,4,4.0981,0.007670064711395597
4.0985,0.00878162096555663,0.00018354641978987493,4,4.0985,0.00878162096555663
4.099,0.010173051455167082,0.00021238072055832725,4,4.099,0.010173051455167082
4.0994,0.011940589328002172,0.000248978485184725,4,4.0994,0.011940589328002172
4.0998,0.014220360954629235,0.00029613981412633975,4,4.0998,0.014220360954629235
4.1003,0.017207663030157073,0.00035787938561454623,4,4.1003,0.017207663030157073
4.1007,0.021178539303883567,0.000439870387445713,4,4.1007,0.021178539303883567
4.1011,0.02650408167411413,0.000549713591869843,4,4.1011,0.02650408167411413
4.1015,0.03362771993814199,0.0006964726224514039,4,4.1015,0.03362771993814199
4.102,0.04287143651840787,0.0008866397309397242,4,4.102,0.04287143651840787
4.1024,0.05383954082342969,0.0011118418037960546,4,4.1024,0.05383954082342969
4.1028,0.06428938520669983,0.0013256818037722965,4,4.1028,0.06428938520669983
4.1033,0.06976433230218967,0.0014364496704263486,4,4.1033,0.06976433230218967
4.1037,0.0668058853794228,0.0013735089096522744,4,4.1037,0.0668058853794228
4.1041,0.057120170881645546,0.001172663322723964,4,4.1041,0.057120170881645546
4.1045,0.04548263939764024,0.0009324140340028071,4,4.1045,0.04548263939764024
4.105,0.03516851487530932,0.0007199668814740546,4,4.105,0.03516851487530932
4.1054,0.027124125072666625,0.000554539907475824,4,4.1054,0.027124125072666625
4.1058,0.021145966686725363,0.00043176525429625416,4,4.1058,0.021145966686725363
4.1063,0.016751143654358275,0.00034161601648261577,4,4.1063,0.016751143654358275
4.1067,0.01350115245093485,0.0002750287989118503,4,4.1067,0.01350115245093485
4.1071,0.011065291159779504,0.0002251759926676633,4,4.1071,0.011065291159779504
4.1075,0.009210737502492093,0.00018726291403943997,4,4.1075,0.009210737502492093
4.108,0.00777576890164154,0.0001579601219322037,4,4.108,0.00777576890164154
4.1084,0.006648369166377902,0.00013496414728538867,4,4.1084,0.006648369166377902
4.1088,0.005749840738972508,0.00011665772226925083,4,4.1088,0.005749840738972508
4.1093,0.005024348010905954,0.00010189370902963169,4,4.1093,0.005024348010905954
4.1097,0.00443154501522848,8.984374188258716e-05,4,4.1097,0.00443154501522848
4.1101,0.003941873734209568,7.990166183586158e-05,4,4.1101,0.003941873734209568
4.1105,0.003533086893417828,7.16111143795465e-05,4,4.1105,0.003533086893417828
4.111,0.003187807349657387,6.46177945086344e-05,4,4.111,0.003187807349657387
4.1114,0.002891919004478509,5.863630311703969e-05,4,4.1114,0.002891919004478509
4.1118,0.002635402180146228,5.3466370803397284e-05,4,4.1118,0.002635402180146228
4.1123,0.0024130250787241553,4.899814857317654e-05,4,4.1123,0.0024130250787241553
4.1127,0.0022211042881220724,4.514933200432172e-05,4,4.1127,0.0022211042881220724
4.1131,0.0020551123512872046,4.1824848485130115e-05,4,4.1131,0.0020551123512872046
4.1135,0.0019104434878648982,3.8930179567587425e-05,4,4.1135,0.0019104434878648982
4.114,0.0017833651570996027,3.639077819857478e-05,4,4.114,0.0017833651570996027
4.1144,0.001671062678345796,3.4149751006121516e-05,4,4.1144,0.001671062678345796
4.1148,0.0015711942068870654,3.215966098923491e-05,4,4.1148,0.0015711942068870654
