Run,Detector,Yield,Yield err,Area,Area err,Time,Fit Status,a,b,sig1,sig2,X2NDF,Linear,Offset,Q_int
run0175,det_h1-1,0.0514111,0.000817516,6148.41,97.7691,109.58,1,0,0,9.93739,11,4.57327,-0.173674,11,119593
run0175,det_h1-2,0.0259329,0.000637844,3101.4,76.2816,109.58,1,0,0,12.0106,11,4.64715,-0.14454,11,119593
run0175,det_h1-3,0.0429755,0.000824687,5139.57,98.6268,109.58,1,0,0,12.6123,11,16.8811,-0.307171,11,119593
run0175,det_h1-4,0.0690303,0.000915778,8255.54,109.521,109.58,1,0,0,10.7399,11,7.66568,-0.221771,11,119593
run0176,det_h0-0,0.0663912,0.000980807,6256.31,92.4253,90.0006,1,0,0,9,11,2.1694,-0.174527,11,94234
run0176,det_h0-1,0.0714612,0.00118093,6734.08,111.284,90.0006,1,0,0,10.719,11,4.1321,-0.216596,11,94234
run0176,det_h0-2,0.0282458,0.000722691,2661.71,68.1021,90.0006,1,0,0,9.81286,11,1.42629,-0.114877,11,94234
run0176,det_h0-3,0.0501164,0.000979796,4722.67,92.3301,90.0006,1,0,0,9.98776,11,1.4156,-0.172131,11,94234
run0176,det_h0-4,0.0523611,0.0009786,4934.2,92.2174,90.0006,1,0,0,10.4919,11,4.24219,-0.206252,11,94234
run0176,det_h0-5,0.05824,0.00116946,5488.19,110.203,90.0006,1,0,0,10.949,11,1.79057,-0.195148,11,94234
run0176,det_h0-6,0.0634389,0.00106559,5978.1,100.415,90.0006,0,0,0,9.7527,11,1.32311,-0.211986,11,94234
run0176,det_h0-7,0.0502321,0.000967275,4733.57,91.1502,90.0006,1,0,0,10.6198,11,3.38531,-0.216805,11,94234
run0176,det_h1-0,0.053551,0.00102971,5046.32,97.0339,90.0006,1,0,0,10.2397,11,1.96162,-0.173297,11,94234
run0176,det_h1-1,0.0529788,0.000988378,4992.41,93.1388,90.0006,1,0,0,10.7007,11,3.89531,-0.199907,11,94234
run0176,det_h1-2,0.0243726,0.000724204,2296.73,68.2446,90.0006,1,0,0,11.362,11,3.83399,-0.154442,11,94234
run0176,det_h1-3,0.0445334,0.000972045,4196.56,91.5997,90.0006,1,0,0,12.0635,11,12.8311,-0.292288,11,94234
run0176,det_h1-4,0.0693705,0.0010576,6537.06,99.6621,90.0006,1,0,0,10.6349,11,5.47705,-0.226102,11,94234
run0177,det_h0-0,0.061526,0.00106433,4776.88,82.6344,71.8399,1,0,0,9,11,2.02615,-0.171796,11,77640
run0177,det_h0-1,0.0660751,0.0013108,5130.07,101.771,71.8399,1,0,0,10.6221,11,3.11686,-0.198361,11,77640
run0177,det_h0-2,0.0251821,0.000693172,1955.14,53.8179,71.8399,1,0,0,9,11,1.41674,-0.0982541,11,77640
run0177,det_h0-3,0.0468313,0.00107353,3635.98,83.3491,71.8399,1,0,0,9.57887,11,1.41533,-0.190403,11,77640
